date,product_id,category,opening_stock,units_sold,closing_stock,reorder_level,availability_pct,low_stock_flag,stockout_flag
2026-01-01,P001,Running,60,12,52,25,100.0,0,0
2026-01-01,P002,Running,97,6,94,39,100.0,0,0
2026-01-01,P003,Running,222,0,222,62,100.0,0,0
2026-01-01,P004,Running,187,14,178,64,100.0,0,0
2026-01-01,P005,Running,223,13,212,62,100.0,0,0
2026-01-01,P006,Running,119,10,112,52,100.0,0,0
2026-01-01,P007,Running,121,9,114,39,100.0,0,0
2026-01-01,P008,Running,111,5,108,40,100.0,0,0
2026-01-01,P009,Running,106,1,106,36,100.0,0,0
2026-01-01,P010,Running,147,9,142,56,100.0,0,0
2026-01-01,P011,Running,166,6,163,65,100.0,0,0
2026-01-01,P012,Running,90,8,84,43,97.67,0,0
2026-01-01,P013,Running,137,8,133,53,100.0,0,0
2026-01-01,P014,Running,217,4,214,63,100.0,0,0
2026-01-01,P015,Running,129,9,122,59,100.0,0,0
2026-01-01,P016,Running,162,2,161,64,100.0,0,0
2026-01-01,P017,Casual,214,5,211,57,100.0,0,0
2026-01-01,P018,Casual,238,6,234,63,100.0,0,0
2026-01-01,P019,Casual,148,5,145,64,100.0,0,0
2026-01-01,P020,Casual,181,8,177,52,100.0,0,0
2026-01-01,P021,Casual,191,9,183,62,100.0,0,0
2026-01-01,P022,Casual,165,4,163,46,100.0,0,0
2026-01-01,P023,Casual,194,1,194,62,100.0,0,0
2026-01-01,P024,Casual,113,6,109,50,100.0,0,0
2026-01-01,P025,Casual,178,8,174,57,100.0,0,0
2026-01-01,P026,Casual,166,5,162,45,100.0,0,0
2026-01-01,P027,Casual,121,5,117,43,100.0,0,0
2026-01-01,P028,Casual,210,4,208,57,100.0,0,0
2026-01-01,P029,Casual,121,5,118,60,98.33,0,0
2026-01-01,P030,Casual,175,6,170,49,100.0,0,0
2026-01-01,P031,Casual,170,4,167,48,100.0,0,0
2026-01-01,P032,Casual,53,8,49,25,98.0,0,0
2026-01-01,P033,Formal,173,5,169,52,100.0,0,0
2026-01-01,P034,Formal,147,1,147,39,100.0,0,0
2026-01-01,P035,Formal,127,5,125,64,97.66,0,0
2026-01-01,P036,Formal,89,3,87,31,100.0,0,0
2026-01-01,P037,Formal,188,5,185,50,100.0,0,0
2026-01-01,P038,Formal,126,5,123,44,100.0,0,0
2026-01-01,P039,Formal,107,5,104,40,100.0,0,0
2026-01-01,P040,Formal,84,0,84,25,100.0,0,0
2026-01-01,P041,Lounge,181,0,181,64,100.0,0,0
2026-01-01,P042,Lounge,142,1,142,64,100.0,0,0
2026-01-01,P043,Lounge,93,3,91,29,100.0,0,0
2026-01-01,P044,Lounge,98,0,98,30,100.0,0,0
2026-01-01,P045,Lounge,112,5,108,48,100.0,0,0
2026-01-01,P046,Lounge,79,4,77,34,100.0,0,0
2026-01-01,P047,Slip-On,215,5,211,60,100.0,0,0
2026-01-01,P048,Slip-On,116,7,112,60,93.33,0,0
2026-01-01,P049,Slip-On,97,1,97,32,100.0,0,0
2026-01-01,P050,Slip-On,193,5,190,50,100.0,0,0
2026-01-01,P051,Slip-On,121,3,119,53,100.0,0,0
2026-01-01,P052,Slip-On,181,2,180,58,100.0,0,0
2026-01-02,P001,Running,90,7,85,25,100.0,0,0
2026-01-02,P002,Running,135,2,134,39,100.0,0,0
2026-01-02,P003,Running,125,5,122,62,98.39,0,0
2026-01-02,P004,Running,205,4,202,64,100.0,0,0
2026-01-02,P005,Running,226,4,224,62,100.0,0,0
2026-01-02,P006,Running,100,12,90,52,86.54,0,0
2026-01-02,P007,Running,140,6,137,39,100.0,0,0
2026-01-02,P008,Running,115,5,112,40,100.0,0,0
2026-01-02,P009,Running,128,3,126,36,100.0,0,0
2026-01-02,P010,Running,136,4,133,56,100.0,0,0
