date,channel,campaign,spend,attributed_revenue,conversions,impressions,roas
2026-01-01,Meta,Running_Summer,25963.72,73516.14,105386,3249306,2.83
2026-01-01,Google,Brand_Search,22909.67,84577.19,72187,2531215,3.69
2026-01-01,Influencer,Fitness_Creators,12518.25,39664.78,33346,1163410,3.17
2026-01-02,Meta,Retargeting,22476.59,53287.56,52189,2273487,2.37
2026-01-02,Google,Shopping,18766.92,64434.73,73234,2575189,3.43
2026-01-02,Influencer,Lifestyle_Campaign,13442.2,43267.9,40214,2431039,3.22
2026-01-03,Meta,Retargeting,23233.56,67228.9,83748,3270368,2.89
2026-01-03,Google,Shopping,19514.38,53267.2,52236,1997139,2.73
2026-01-03,Influencer,Lifestyle_Campaign,17146.71,57926.56,60615,1816211,3.38
2026-01-04,Meta,Everyday_Comfort,26936.26,88542.34,151610,4389789,3.29
2026-01-04,Google,Brand_Search,20684.31,70878.29,49071,1940497,3.43
2026-01-04,Influencer,Fitness_Creators,13336.93,44172.61,33404,1542808,3.31
2026-01-05,Meta,Running_Summer,30360.07,77102.71,95471,3205475,2.54
2026-01-05,Google,Shopping,21329.88,78079.48,76522,2526055,3.66
2026-01-05,Influencer,Creator_Reviews,14973.36,46873.01,29786,1551909,3.13
2026-01-06,Meta,Running_Summer,24403.66,69776.85,94886,3138216,2.86
2026-01-06,Google,Brand_Search,19756.85,73029.97,81822,3309691,3.7
2026-01-06,Influencer,Creator_Reviews,13996.26,36456.93,33090,1286054,2.6
2026-01-07,Meta,Retargeting,29487.44,98697.99,127638,5282053,3.35
2026-01-07,Google,Brand_Search,22021.95,68633.06,85240,3474388,3.12
2026-01-07,Influencer,Lifestyle_Campaign,13209.6,47737.06,61429,2353539,3.61
2026-01-08,Meta,Running_Summer,31739.71,98948.91,111414,4146382,3.12
2026-01-08,Google,Brand_Search,19035.17,64086.36,38600,1852711,3.37
2026-01-08,Influencer,Creator_Reviews,13446.7,40890.61,42073,1706600,3.04
2026-01-09,Meta,Everyday_Comfort,27025.68,77791.29,98072,3483150,2.88
2026-01-09,Google,Shopping,21735.88,67062.07,62613,2303461,3.09
2026-01-09,Influencer,Fitness_Creators,14921.77,40641.93,67506,2683776,2.72
2026-01-10,Meta,Running_Summer,25948.76,70588.45,89399,3341208,2.72
2026-01-10,Google,Running_Search,24267.34,76779.17,83624,3797724,3.16
2026-01-10,Influencer,Fitness_Creators,14802.59,39836.87,55560,2327459,2.69
2026-01-11,Meta,Retargeting,30800.17,79395.7,77984,2840234,2.58
2026-01-11,Google,Shopping,22023.03,63411.01,46706,2033093,2.88
2026-01-11,Influencer,Lifestyle_Campaign,16206.02,42920.29,29756,1677107,2.65
2026-01-12,Meta,Retargeting,24557.0,72726.48,69668,3409318,2.96
2026-01-12,Google,Shopping,22606.08,73347.9,85823,2770407,3.24
2026-01-12,Influencer,Lifestyle_Campaign,14674.0,43977.74,47815,1650478,3.0
2026-01-13,Meta,Everyday_Comfort,35096.29,108200.17,118407,5453248,3.08
2026-01-13,Google,Running_Search,25946.01,91219.8,107185,4162614,3.52
2026-01-13,Influencer,Lifestyle_Campaign,17759.85,44159.02,53689,1941254,2.49
2026-01-14,Meta,Running_Summer,26972.94,76145.71,103499,4277903,2.82
2026-01-14,Google,Shopping,23274.74,82380.22,66939,2417942,3.54
2026-01-14,Influencer,Lifestyle_Campaign,13756.04,42922.58,39715,1780149,3.12
2026-01-15,Meta,Everyday_Comfort,29521.03,82410.01,101090,4351584,2.79
2026-01-15,Google,Running_Search,22590.36,60766.59,39858,2098905,2.69
2026-01-15,Influencer,Creator_Reviews,15191.78,41982.03,38095,1390497,2.76
2026-01-16,Meta,Everyday_Comfort,31668.63,112222.42,142722,4462661,3.54
2026-01-16,Google,Brand_Search,23086.29,75203.59,76711,3066089,3.26
2026-01-16,Influencer,Creator_Reviews,15175.05,47466.91,56049,2011964,3.13
2026-01-17,Meta,Retargeting,26883.75,76556.67,72036,3709092,2.85
2026-01-17,Google,Brand_Search,20494.77,62573.67,65112,2914097,3.05
2026-01-17,Influencer,Creator_Reviews,13771.92,41246.16,40110,1676748,2.99
2026-01-18,Meta,Running_Summer,27956.52,77708.26,85099,3624558,2.78
2026-01-18,Google,Brand_Search,26057.09,89484.91,63785,2731939,3.43
2026-01-18,Influencer,Fitness_Creators,14040.5,47494.1,40163,1711312,3.38
2026-01-19,Meta,Everyday_Comfort,28091.58,84328.16,93535,4878087,3.0
2026-01-19,Google,Running_Search,22927.54,88908.97,85077,3276326,3.88
2026-01-19,Influencer,Fitness_Creators,14672.16,46195.13,40254,1437245,3.15
2026-01-20,Meta,Retargeting,28870.65,76063.66,84997,2975559,2.63
2026-01-20,Google,Brand_Search,28411.26,91206.41,83035,2827733,3.21
2026-01-20,Influencer,Creator_Reviews,16965.85,53762.51,60374,1955915,3.17
2026-01-21,Meta,Running_Summer,25962.49,76618.2,46573,2767028,2.95
2026-01-21,Google,Shopping,22018.58,72689.02,108071,3597476,3.3
2026-01-21,Influencer,Lifestyle_Campaign,17130.19,51162.9,46070,1975398,2.99
2026-01-22,Meta,Running_Summer,21353.27,59399.67,64685,3706894,2.78
2026-01-22,Google,Brand_Search,21199.91,64314.75,79968,2892431,3.03
2026-01-22,Influencer,Fitness_Creators,12820.12,43898.6,40178,1913280,3.42
2026-01-23,Meta,Running_Summer,29471.23,76095.92,86524,3300445,2.58
2026-01-23,Google,Shopping,20317.16,64051.03,73599,2660852,3.15
2026-01-23,Influencer,Lifestyle_Campaign,15844.16,46680.84,55706,2434162,2.95
2026-01-24,Meta,Retargeting,27985.48,77739.98,68330,2986079,2.78
2026-01-24,Google,Brand_Search,24276.06,76869.02,75024,2831389,3.17
2026-01-24,Influencer,Creator_Reviews,15265.16,51552.75,70583,2452143,3.38
2026-01-25,Meta,Everyday_Comfort,29702.7,78747.02,89416,3844512,2.65
2026-01-25,Google,Shopping,22846.64,77755.01,111036,3699756,3.4
2026-01-25,Influencer,Lifestyle_Campaign,12265.39,40646.18,39339,1417617,3.31
2026-01-26,Meta,Everyday_Comfort,27682.73,73853.46,49182,3059859,2.67
2026-01-26,Google,Brand_Search,18637.89,60520.95,62788,2587232,3.25
2026-01-26,Influencer,Fitness_Creators,14589.17,37955.96,33334,1745323,2.6
2026-01-27,Meta,Running_Summer,26769.3,87948.02,116971,4839968,3.29
2026-01-27,Google,Brand_Search,22915.7,75823.73,56606,2339027,3.31
2026-01-27,Influencer,Creator_Reviews,15766.02,57350.99,40925,1580315,3.64
2026-01-28,Meta,Everyday_Comfort,22083.98,69212.15,84828,2643973,3.13
2026-01-28,Google,Brand_Search,19054.74,62478.65,53880,1780906,3.28
2026-01-28,Influencer,Lifestyle_Campaign,15367.79,40740.92,45392,1575537,2.65
2026-01-29,Meta,Everyday_Comfort,24626.28,68338.06,44034,2330468,2.78
2026-01-29,Google,Shopping,22790.87,67617.61,71690,2648355,2.97
2026-01-29,Influencer,Creator_Reviews,14990.23,50091.02,40068,1647347,3.34
2026-01-30,Meta,Retargeting,28520.78,93417.82,53296,2687849,3.28
2026-01-30,Google,Running_Search,21756.02,75505.19,78943,3735409,3.47
2026-01-30,Influencer,Lifestyle_Campaign,12173.74,37621.03,37397,1710904,3.09
2026-01-31,Meta,Everyday_Comfort,30474.38,86655.01,82747,2876839,2.84
2026-01-31,Google,Running_Search,17560.02,61026.9,66685,2386749,3.48
2026-01-31,Influencer,Lifestyle_Campaign,14493.36,47522.28,62163,2559714,3.28
2026-02-01,Meta,Retargeting,27393.47,74739.19,84036,2965233,2.73
2026-02-01,Google,Brand_Search,22210.06,74139.81,110783,3909924,3.34
2026-02-01,Influencer,Fitness_Creators,17429.4,52655.51,55549,2227348,3.02
2026-02-02,Meta,Running_Summer,28174.36,77025.2,73347,2632363,2.73
2026-02-02,Google,Brand_Search,26648.89,96784.69,86898,2983507,3.63
2026-02-02,Influencer,Creator_Reviews,17016.65,57036.62,104445,3047288,3.35
2026-02-03,Meta,Running_Summer,27146.3,73658.59,86928,3092973,2.71
2026-02-03,Google,Running_Search,22480.52,82058.43,51778,2254287,3.65
2026-02-03,Influencer,Lifestyle_Campaign,15837.6,46945.72,61569,2841731,2.96
2026-02-04,Meta,Running_Summer,30590.4,76613.5,82480,3154655,2.5
2026-02-04,Google,Shopping,25906.14,75360.75,98845,4249496,2.91
2026-02-04,Influencer,Creator_Reviews,17549.96,56079.53,72049,2752358,3.2
2026-02-05,Meta,Everyday_Comfort,29021.26,95764.12,88942,4657987,3.3
2026-02-05,Google,Brand_Search,26892.24,82978.14,107602,3528409,3.09
2026-02-05,Influencer,Fitness_Creators,16148.9,36015.84,60455,2073899,2.23
2026-02-06,Meta,Running_Summer,33280.0,91854.15,100602,4016114,2.76
2026-02-06,Google,Running_Search,24643.05,78901.57,54034,3191316,3.2
2026-02-06,Influencer,Creator_Reviews,14048.32,45455.39,34126,1362277,3.24
2026-02-07,Meta,Everyday_Comfort,28465.18,87132.3,46502,3996443,3.06
2026-02-07,Google,Brand_Search,25256.74,86830.88,76282,2320558,3.44
2026-02-07,Influencer,Lifestyle_Campaign,15823.46,46676.45,38920,1845828,2.95
2026-02-08,Meta,Retargeting,30254.08,87934.42,95634,3990291,2.91
2026-02-08,Google,Running_Search,21520.46,71512.14,59553,3286818,3.32
2026-02-08,Influencer,Fitness_Creators,15998.98,53356.15,62748,2551231,3.33
2026-02-09,Meta,Retargeting,30565.57,81419.23,62210,3220062,2.66
2026-02-09,Google,Brand_Search,23059.03,64354.17,56567,2342249,2.79
2026-02-09,Influencer,Fitness_Creators,15902.18,55486.64,47323,2051404,3.49
2026-02-10,Meta,Running_Summer,26393.03,72581.82,60922,2784520,2.75
2026-02-10,Google,Running_Search,20323.49,65489.69,67046,2198917,3.22
2026-02-10,Influencer,Lifestyle_Campaign,17429.29,45566.68,43421,1933155,2.61
2026-02-11,Meta,Running_Summer,27746.82,68400.07,112381,4316815,2.47
2026-02-11,Google,Brand_Search,21694.0,60819.68,72033,3340217,2.8
2026-02-11,Influencer,Fitness_Creators,16829.16,41732.07,57544,1630491,2.48
2026-02-12,Meta,Running_Summer,29156.65,87140.75,79909,3595082,2.99
2026-02-12,Google,Running_Search,25231.99,86116.15,61675,2783937,3.41
2026-02-12,Influencer,Creator_Reviews,16592.18,44484.76,43192,1556438,2.68
2026-02-13,Meta,Everyday_Comfort,30647.34,72320.5,101828,3547383,2.36
2026-02-13,Google,Running_Search,21951.87,70328.07,52807,2178975,3.2
2026-02-13,Influencer,Creator_Reviews,18390.1,62331.19,50955,1753600,3.39
2026-02-14,Meta,Everyday_Comfort,27308.06,66552.54,146662,4882622,2.44
2026-02-14,Google,Brand_Search,25856.65,91550.37,63783,3233371,3.54
2026-02-14,Influencer,Fitness_Creators,15977.98,38803.13,71970,2722335,2.43
2026-02-15,Meta,Everyday_Comfort,26675.14,89585.03,100758,3634528,3.36
2026-02-15,Google,Brand_Search,25317.55,75019.96,70780,3023439,2.96
2026-02-15,Influencer,Lifestyle_Campaign,15917.9,57949.52,48411,2172689,3.64
2026-02-16,Meta,Everyday_Comfort,28789.71,80845.7,85617,3253766,2.81
2026-02-16,Google,Shopping,23969.51,78218.61,72843,3617193,3.26
2026-02-16,Influencer,Lifestyle_Campaign,16574.62,47223.22,52333,1841335,2.85
