order_id,date,product_id,category,channel,units,unit_price,discount_pct,revenue
O000001,2026-01-01,P018,Casual,Website,2,1461,0.1,2629.8
O000002,2026-01-01,P042,Lounge,Website,2,1117,0.0,2234.0
O000003,2026-01-01,P030,Casual,Myntra,1,1429,0.0,1429.0
O000004,2026-01-01,P004,Running,Website,2,1728,0.1,3110.4
O000005,2026-01-01,P051,Slip-On,Website,2,1392,0.15,2366.4
O000006,2026-01-01,P034,Formal,Amazon,1,2022,0.05,1920.9
O000007,2026-01-01,P036,Formal,Flipkart,1,1751,0.0,1751.0
O000008,2026-01-01,P006,Running,Website,2,1754,0.0,3508.0
O000009,2026-01-01,P019,Casual,Myntra,4,1348,0.0,5392.0
O000010,2026-01-01,P015,Running,Myntra,1,1729,0.1,1556.1
O000011,2026-01-01,P048,Slip-On,Amazon,1,1224,0.05,1162.8
O000012,2026-01-01,P028,Casual,Website,2,1417,0.05,2692.3
O000013,2026-01-01,P039,Formal,Website,2,1951,0.0,3902.0
O000014,2026-01-01,P019,Casual,Website,2,1348,0.05,2561.2
O000015,2026-01-01,P010,Running,Myntra,1,1707,0.0,1707.0
O000016,2026-01-01,P024,Casual,Flipkart,1,1297,0.0,1297.0
O000017,2026-01-01,P003,Running,Website,1,1483,0.0,1483.0
O000018,2026-01-01,P039,Formal,Website,1,1951,0.0,1951.0
O000019,2026-01-01,P027,Casual,Amazon,1,1375,0.05,1306.25
O000020,2026-01-01,P034,Formal,Amazon,1,2022,0.1,1819.8
O000021,2026-01-01,P015,Running,Website,1,1729,0.0,1729.0
O000022,2026-01-01,P051,Slip-On,Amazon,1,1392,0.0,1392.0
O000023,2026-01-01,P045,Lounge,Website,1,885,0.05,840.75
O000024,2026-01-01,P035,Formal,Myntra,1,2071,0.0,2071.0
O000025,2026-01-01,P008,Running,Myntra,1,1629,0.1,1466.1
O000026,2026-01-01,P020,Casual,Website,4,1166,0.05,4430.8
O000027,2026-01-01,P002,Running,Website,2,1759,0.05,3342.1
O000028,2026-01-01,P007,Running,Website,1,1785,0.05,1695.75
O000029,2026-01-01,P030,Casual,Website,1,1429,0.0,1429.0
O000030,2026-01-01,P033,Formal,Myntra,1,1845,0.0,1845.0
O000031,2026-01-01,P050,Slip-On,Amazon,3,1391,0.1,3755.7
O000032,2026-01-01,P014,Running,Amazon,2,1780,0.0,3560.0
O000033,2026-01-01,P015,Running,Myntra,1,1729,0.1,1556.1
O000034,2026-01-01,P020,Casual,Amazon,1,1166,0.0,1166.0
O000035,2026-01-01,P008,Running,Flipkart,1,1629,0.0,1629.0
O000036,2026-01-01,P006,Running,Flipkart,4,1754,0.0,7016.0
O000037,2026-01-01,P020,Casual,Amazon,1,1166,0.0,1166.0
O000038,2026-01-01,P010,Running,Amazon,2,1707,0.1,3072.6
O000039,2026-01-01,P029,Casual,Flipkart,2,1401,0.0,2802.0
O000040,2026-01-01,P018,Casual,Website,1,1461,0.05,1387.95
O000041,2026-01-01,P040,Formal,Website,2,1977,0.1,3558.6
O000042,2026-01-01,P031,Casual,Website,1,1323,0.0,1323.0
O000043,2026-01-01,P013,Running,Website,1,1793,0.15,1524.05
O000044,2026-01-01,P040,Formal,Myntra,1,1977,0.05,1878.15
O000045,2026-01-01,P037,Formal,Flipkart,3,1938,0.05,5523.3
O000046,2026-01-01,P016,Running,Myntra,1,1591,0.05,1511.45
O000047,2026-01-01,P012,Running,Amazon,1,1540,0.05,1463.0
O000048,2026-01-01,P030,Casual,Amazon,1,1429,0.1,1286.1
O000049,2026-01-01,P006,Running,Amazon,1,1754,0.05,1666.3
O000050,2026-01-01,P008,Running,Flipkart,1,1629,0.1,1466.1
O000051,2026-01-01,P001,Running,Flipkart,1,1484,0.1,1335.6
O000052,2026-01-01,P036,Formal,Myntra,1,1751,0.0,1751.0
